Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-4,23,-23.39470838,7.76757834,3.0,FHNode172,Section-4_Node_23,0.25,0.035
Section-4,24,-24.18591811,4.71020713,3.0,FHNode173,Section-4_Node_24,0.25,0.035
Section-4,25,-24.57949685,1.57805606,3.0,FHNode174,Section-4_Node_25,0.25,0.035
Section-4,26,-24.56931374,-1.57740228,3.0,FHNode175,Section-4_Node_26,0.25,0.035
Section-4,27,-24.15587038,-4.70435533,3.0,FHNode176,Section-4_Node_27,0.25,0.035
Section-4,28,-23.34628716,-7.75150139,3.0,FHNode177,Section-4_Node_28,0.25,0.035
Section-4,29,-22.15418091,-10.66889123,3.0,FHNode178,Section-4_Node_29,0.25,0.035
Section-4,30,-20.59943595,-13.40874687,3.0,FHNode179,Section-4_Node_30,0.25,0.035
Section-4,31,-18.70787251,-15.92624407,3.0,FHNode180,Section-4_Node_31,0.25,0.035
Section-4,32,-16.51081804,-18.18024561,3.0,FHNode181,Section-4_Node_32,0.25,0.035
Section-4,33,-14.04458832,-20.13397348,3.0,FHNode182,Section-4_Node_33,0.25,0.035
Section-4,34,-11.34988728,-21.755609,3.0,FHNode183,Section-4_Node_34,0.25,0.035
Section-4,35,-8.4711352,-23.01881091,3.0,FHNode184,Section-4_Node_35,0.25,0.035
Section-4,36,-5.45573647,-23.90314328,3.0,FHNode185,Section-4_Node_36,0.25,0.035
Section-4,37,-2.353299,-24.39440596,3.0,FHNode186,Section-4_Node_37,0.25,0.035
Section-4,38,0.78518189,-24.48486259,3.0,FHNode187,Section-4_Node_38,0.25,0.035
Section-4,39,3.90816172,-24.17336209,3.0,FHNode188,Section-4_Node_39,0.25,0.035
Section-4,40,6.96439335,-23.46535217,3.0,FHNode189,Section-4_Node_40,0.25,0.035
Section-4,41,9.90376797,-22.37278436,3.0,FHNode190,Section-4_Node_41,0.25,0.035
Section-4,42,12.67813661,-20.91391242,3.0,FHNode191,Section-4_Node_42,0.25,0.035
Section-4,43,15.24209891,-19.11298749,3.0,FHNode192,Section-4_Node_43,0.25,0.035
Section-4,44,17.55374598,-16.99985498,3.0,FHNode193,Section-4_Node_44,0.25,0.035
Section-4,45,19.57534548,-14.60946002,3.0,FHNode194,Section-4_Node_45,0.25,0.035
Section-4,46,21.27395744,-11.98126962,3.0,FHNode195,Section-4_Node_46,0.25,0.035
Section-4,47,22.62197096,-9.15862101,3.0,FHNode196,Section-4_Node_47,0.25,0.035
Section-4,48,23.597553,-6.18800711,3.0,FHNode197,Section-4_Node_48,0.25,0.035
Section-4,49,24.18500189,-3.11831069,3.0,FHNode198,Section-4_Node_49,0.25,0.035
Section-4,50,24.375,-0.0,3.0,FHNode199,Section-4_Node_50,0.25,0.035
